tiempo,i_areas,m_areas
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
1990,10%,0
1991,10%,0
1992,10%,0
1993,10%,0
1994,10%,0
1995,10%,0
1996,10%,0
1997,10%,0
1998,10%,0
1999,10%,0
2000,10%,0
2001,10%,0
2002,10%,0
2003,10%,0
2004,10%,0
2005,10%,0
2006,10%,0
2007,10%,0
2008,10%,0
2009,10%,0
2010,10%,0
2011,10%,0
2012,10%,0
2013,10%,0
2014,10%,0
2015,10%,0
2016,10%,0
2017,10%,0
2018,10%,0
2019,10%,0
2020,10%,0
1990,50%,0
1991,50%,0
1992,50%,0
1993,50%,0
1994,50%,0
1995,50%,0
1996,50%,0
1997,50%,0
1998,50%,0
1999,50%,0
2000,50%,0
2001,50%,0
2002,50%,0
2003,50%,0
2004,50%,0
2005,50%,0
2006,50%,0
2007,50%,0
2008,50%,0
2009,50%,0
2010,50%,0
2011,50%,0
2012,50%,0
2013,50%,0
2014,50%,0
2015,50%,0
2016,50%,0
2017,50%,0
2018,50%,0
2019,50%,0
2020,50%,0
1990,100%,0
1991,100%,0
1992,100%,0
1993,100%,0
1994,100%,0
1995,100%,0
1996,100%,0
1997,100%,0
1998,100%,0
1999,100%,0
2000,100%,0
2001,100%,0
2002,100%,0
2003,100%,0
2004,100%,0
2005,100%,0
2006,100%,0
2007,100%,0
2008,100%,0
2009,100%,0
2010,100%,0
2011,100%,0
2012,100%,0
2013,100%,0
2014,100%,0
2015,100%,0
2016,100%,0
2017,100%,0
2018,100%,0
2019,100%,0
2020,100%,0
2021,0,0
2022,0,0
2023,0,0
2024,0,0
2025,0,0
2026,0,0
2027,0,0
2028,0,0
2029,0,0
2030,0,0
2031,0,0
2032,0,0
2033,0,0
2034,0,0
2035,0,0
2036,0,0
2037,0,0
2038,0,0
2039,0,0
2040,0,0
2041,0,0
2042,0,0
2043,0,0
2044,0,0
2045,0,0
2046,0,0
2047,0,0
2048,0,0
2049,0,0
2050,0,0
2021,10%,0
2022,10%,0
2023,10%,0
2024,10%,0
2025,10%,0.055057522
2026,10%,0.055057522
2027,10%,0.055057522
2028,10%,0.055057522
2029,10%,0.055057522
2030,10%,0.110115043
2031,10%,0.110115043
2032,10%,0.110115043
2033,10%,0.110115043
2034,10%,0.110115043
2035,10%,0.165172565
2036,10%,0.165172565
2037,10%,0.165172565
2038,10%,0.165172565
2039,10%,0.165172565
2040,10%,0.220230086
2041,10%,0.220230086
2042,10%,0.220230086
2043,10%,0.220230086
2044,10%,0.220230086
2045,10%,0.275287608
2046,10%,0.275287608
2047,10%,0.275287608
2048,10%,0.275287608
2049,10%,0.275287608
2050,10%,0.275287608
2021,50%,0
2022,50%,0
2023,50%,0
2024,50%,0
2025,50%,0.275287608
2026,50%,0.275287608
2027,50%,0.275287608
2028,50%,0.275287608
2029,50%,0.275287608
2030,50%,0.550575216
2031,50%,0.550575216
2032,50%,0.550575216
2033,50%,0.550575216
2034,50%,0.550575216
2035,50%,0.825862823
2036,50%,0.825862823
2037,50%,0.825862823
2038,50%,0.825862823
2039,50%,0.825862823
2040,50%,1.101150431
2041,50%,1.101150431
2042,50%,1.101150431
2043,50%,1.101150431
2044,50%,1.101150431
2045,50%,1.376438039
2046,50%,1.376438039
2047,50%,1.376438039
2048,50%,1.376438039
2049,50%,1.376438039
2050,50%,1.376438039
2021,100%,0
2022,100%,0
2023,100%,0
2024,100%,0
2025,100%,0.550575216
2026,100%,0.550575216
2027,100%,0.550575216
2028,100%,0.550575216
2029,100%,0.550575216
2030,100%,1.101150431
2031,100%,1.101150431
2032,100%,1.101150431
2033,100%,1.101150431
2034,100%,1.101150431
2035,100%,1.651725647
2036,100%,1.651725647
2037,100%,1.651725647
2038,100%,1.651725647
2039,100%,1.651725647
2040,100%,2.202300863
2041,100%,2.202300863
2042,100%,2.202300863
2043,100%,2.202300863
2044,100%,2.202300863
2045,100%,2.752876078
2046,100%,2.752876078
2047,100%,2.752876078
2048,100%,2.752876078
2049,100%,2.752876078
2050,100%,2.752876078
