tiempo,id_futuro,bau
1990,input_set_1,-64.48292735
1991,input_set_1,-61.17048531
1992,input_set_1,-62.55082607
1993,input_set_1,-62.83639321
1994,input_set_1,-63.04400473
1995,input_set_1,-65.43782879
1996,input_set_1,-62.321213
1997,input_set_1,-64.93686909
1998,input_set_1,-48.71808098
1999,input_set_1,-61.31751793
2000,input_set_1,-69.64621572
2001,input_set_1,-70.5724601
2002,input_set_1,-66.06498192
2003,input_set_1,-79.16195052
2004,input_set_1,-74.33438707
2005,input_set_1,-73.80524786
2006,input_set_1,-77.31180492
2007,input_set_1,-66.70232233
2008,input_set_1,-66.04660699
2009,input_set_1,-69.26818985
2010,input_set_1,-75.97201388
2011,input_set_1,-70.24109673
2012,input_set_1,-69.00716625
2013,input_set_1,-75.61179147
2014,input_set_1,-64.38082154
2015,input_set_1,-53.44505409
2016,input_set_1,-67.77089409
2017,input_set_1,-1.955303964
2018,input_set_1,-66.73626767
2019,input_set_1,-61.52448981
2020,input_set_1,-61.94420536
2021,input_set_1,-75.16940461
2022,input_set_1,-75.33399708
2023,input_set_1,-80.69437054
2024,input_set_1,-79.43260553
2025,input_set_1,-71.55692123
2026,input_set_1,-79.27603938
2027,input_set_1,-76.23331155
2028,input_set_1,-75.03295074
2029,input_set_1,-64.8600903
2030,input_set_1,-66.21719523
2031,input_set_1,-72.55749739
2032,input_set_1,-64.68775098
2033,input_set_1,-72.23910433
2034,input_set_1,-71.80544753
2035,input_set_1,-68.12753315
2036,input_set_1,-59.97466948
2037,input_set_1,-66.56771402
2038,input_set_1,-58.6538967
2039,input_set_1,-62.4061822
2040,input_set_1,-63.89757384
2041,input_set_1,-56.11286342
2042,input_set_1,-61.05881044
2043,input_set_1,-63.1584524
2044,input_set_1,-49.71538786
2045,input_set_1,-57.43019385
2046,input_set_1,-60.13877996
2047,input_set_1,-57.518107
2048,input_set_1,-57.71487111
2049,input_set_1,-53.87616444
2050,input_set_1,-45.78964831
1990,input_set_10,-64.48292735
1991,input_set_10,-61.17048531
1992,input_set_10,-62.55082607
1993,input_set_10,-62.83639321
1994,input_set_10,-63.04400473
1995,input_set_10,-65.43782879
1996,input_set_10,-62.321213
1997,input_set_10,-64.93686909
1998,input_set_10,-48.71808098
1999,input_set_10,-61.31751793
2000,input_set_10,-69.64621572
2001,input_set_10,-70.5724601
2002,input_set_10,-66.06498192
2003,input_set_10,-79.16195052
2004,input_set_10,-74.33438707
2005,input_set_10,-73.80524786
2006,input_set_10,-77.31180492
2007,input_set_10,-66.70232233
2008,input_set_10,-66.04660699
2009,input_set_10,-69.26818985
2010,input_set_10,-75.97201388
2011,input_set_10,-70.24109673
2012,input_set_10,-69.00716625
2013,input_set_10,-75.61179147
2014,input_set_10,-64.38082154
2015,input_set_10,-53.44505409
2016,input_set_10,-67.77089409
2017,input_set_10,-1.955303964
2018,input_set_10,-66.73626767
2019,input_set_10,-61.52448981
2020,input_set_10,-61.94420536
2021,input_set_10,-84.96112135
2022,input_set_10,-75.70123502
2023,input_set_10,-81.37761638
2024,input_set_10,-84.75739006
2025,input_set_10,-83.20350969
2026,input_set_10,-68.19760481
2027,input_set_10,-69.9051755
2028,input_set_10,-79.75260208
2029,input_set_10,-75.30994537
2030,input_set_10,-70.84626366
2031,input_set_10,-27.43657167
2032,input_set_10,-76.6201684
2033,input_set_10,-74.26431237
2034,input_set_10,-67.02429101
2035,input_set_10,-67.1317138
2036,input_set_10,-74.54995614
2037,input_set_10,-64.9983249
2038,input_set_10,-71.00893732
