tiempo,i_incendios,m_incendios
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
1990,10%,0
1991,10%,0
1992,10%,0
1993,10%,0
1994,10%,0
1995,10%,0
1996,10%,0
1997,10%,0
1998,10%,0
1999,10%,0
2000,10%,0
2001,10%,0
2002,10%,0
2003,10%,0
2004,10%,0
2005,10%,0
2006,10%,0
2007,10%,0
2008,10%,0
2009,10%,0
2010,10%,0
2011,10%,0
2012,10%,0
2013,10%,0
2014,10%,0
2015,10%,0
2016,10%,0
2017,10%,0
2018,10%,0
2019,10%,0
2020,10%,0
1990,50%,0
1991,50%,0
1992,50%,0
1993,50%,0
1994,50%,0
1995,50%,0
1996,50%,0
1997,50%,0
1998,50%,0
1999,50%,0
2000,50%,0
2001,50%,0
2002,50%,0
2003,50%,0
2004,50%,0
2005,50%,0
2006,50%,0
2007,50%,0
2008,50%,0
2009,50%,0
2010,50%,0
2011,50%,0
2012,50%,0
2013,50%,0
2014,50%,0
2015,50%,0
2016,50%,0
2017,50%,0
2018,50%,0
2019,50%,0
2020,50%,0
1990,100%,0
1991,100%,0
1992,100%,0
1993,100%,0
1994,100%,0
1995,100%,0
1996,100%,0
1997,100%,0
1998,100%,0
1999,100%,0
2000,100%,0
2001,100%,0
2002,100%,0
2003,100%,0
2004,100%,0
2005,100%,0
2006,100%,0
2007,100%,0
2008,100%,0
2009,100%,0
2010,100%,0
2011,100%,0
2012,100%,0
2013,100%,0
2014,100%,0
2015,100%,0
2016,100%,0
2017,100%,0
2018,100%,0
2019,100%,0
2020,100%,0
2021,0,0
2022,0,0
2023,0,0
2024,0,0
2025,0,0
2026,0,0
2027,0,0
2028,0,0
2029,0,0
2030,0,0
2031,0,0
2032,0,0
2033,0,0
2034,0,0
2035,0,0
2036,0,0
2037,0,0
2038,0,0
2039,0,0
2040,0,0
2041,0,0
2042,0,0
2043,0,0
2044,0,0
2045,0,0
2046,0,0
2047,0,0
2048,0,0
2049,0,0
2050,0,0
2021,10%,0
2022,10%,0
2023,10%,0
2024,10%,0.104923891
2025,10%,0.005293747
2026,10%,0.073585007
2027,10%,0.172202174
2028,10%,0.054000749
2029,10%,0.062390849
2030,10%,0.078356035
2031,10%,0.192174095
2032,10%,0.238762122
2033,10%,0.42783179
2034,10%,0.155918259
2035,10%,0.057371005
2036,10%,0.331730522
2037,10%,0.095337035
2038,10%,0.1784621
2039,10%,0.217871233
2040,10%,0.372420635
2041,10%,0.168266213
2042,10%,0.115734154
2043,10%,0.227963536
2044,10%,0.044392765
2045,10%,0.076496604
2046,10%,0.160239862
2047,10%,0.321008324
2048,10%,0.141585042
2049,10%,0.08260127
2050,10%,0.026587841
2021,50%,0
2022,50%,0
2023,50%,0
2024,50%,0.524619456
2025,50%,0.026468734
2026,50%,0.367925033
2027,50%,0.861010872
2028,50%,0.270003744
2029,50%,0.311954243
2030,50%,0.391780177
2031,50%,0.960870473
2032,50%,1.193810612
2033,50%,2.139158949
2034,50%,0.779591296
2035,50%,0.286855025
2036,50%,1.658652611
2037,50%,0.476685174
2038,50%,0.892310498
2039,50%,1.089356163
2040,50%,1.862103173
2041,50%,0.841331067
2042,50%,0.578670769
2043,50%,1.13981768
2044,50%,0.221963825
2045,50%,0.382483022
2046,50%,0.80119931
2047,50%,1.605041622
2048,50%,0.707925212
2049,50%,0.41300635
2050,50%,0.132939207
2021,100%,0
2022,100%,0
2023,100%,0
2024,100%,1.049238911
2025,100%,0.052937469
2026,100%,0.735850066
2027,100%,1.722021745
2028,100%,0.540007487
2029,100%,0.623908486
2030,100%,0.783560354
2031,100%,1.921740947
2032,100%,2.387621225
2033,100%,4.278317898
2034,100%,1.559182592
2035,100%,0.573710051
2036,100%,3.317305222
2037,100%,0.953370348
2038,100%,1.784620995
2039,100%,2.178712326
2040,100%,3.724206347
2041,100%,1.682662134
2042,100%,1.157341537
2043,100%,2.279635359
2044,100%,0.443927649
2045,100%,0.764966043
2046,100%,1.60239862
2047,100%,3.210083244
2048,100%,1.415850424
2049,100%,0.826012699
2050,100%,0.265878415
