tiempo,i_manejo,m_manejo
1990,0.00,0
1991,0.00,0
1992,0.00,0
1993,0.00,0
1994,0.00,0
1995,0.00,0
1996,0.00,0
1997,0.00,0
1998,0.00,0
1999,0.00,0
2000,0.00,0
2001,0.00,0
2002,0.00,0
2003,0.00,0
2004,0.00,0
2005,0.00,0
2006,0.00,0
2007,0.00,0
2008,0.00,0
2009,0.00,0
2010,0.00,0
2011,0.00,0
2012,0.00,0
2013,0.00,0
2014,0.00,0
2015,0.00,0
2016,0.00,0
2017,0.00,0
2018,0.00,0
2019,0.00,0
2020,0.00,0
1990,0.10,0
1991,0.10,0
1992,0.10,0
1993,0.10,0
1994,0.10,0
1995,0.10,0
1996,0.10,0
1997,0.10,0
1998,0.10,0
1999,0.10,0
2000,0.10,0
2001,0.10,0
2002,0.10,0
2003,0.10,0
2004,0.10,0
2005,0.10,0
2006,0.10,0
2007,0.10,0
2008,0.10,0
2009,0.10,0
2010,0.10,0
2011,0.10,0
2012,0.10,0
2013,0.10,0
2014,0.10,0
2015,0.10,0
2016,0.10,0
2017,0.10,0
2018,0.10,0
2019,0.10,0
2020,0.10,0
1990,0.50,0
1991,0.50,0
1992,0.50,0
1993,0.50,0
1994,0.50,0
1995,0.50,0
1996,0.50,0
1997,0.50,0
1998,0.50,0
1999,0.50,0
2000,0.50,0
2001,0.50,0
2002,0.50,0
2003,0.50,0
2004,0.50,0
2005,0.50,0
2006,0.50,0
2007,0.50,0
2008,0.50,0
2009,0.50,0
2010,0.50,0
2011,0.50,0
2012,0.50,0
2013,0.50,0
2014,0.50,0
2015,0.50,0
2016,0.50,0
2017,0.50,0
2018,0.50,0
2019,0.50,0
2020,0.50,0
1990,1.00,0
1991,1.00,0
1992,1.00,0
1993,1.00,0
1994,1.00,0
1995,1.00,0
1996,1.00,0
1997,1.00,0
1998,1.00,0
1999,1.00,0
2000,1.00,0
2001,1.00,0
2002,1.00,0
2003,1.00,0
2004,1.00,0
2005,1.00,0
2006,1.00,0
2007,1.00,0
2008,1.00,0
2009,1.00,0
2010,1.00,0
2011,1.00,0
2012,1.00,0
2013,1.00,0
2014,1.00,0
2015,1.00,0
2016,1.00,0
2017,1.00,0
2018,1.00,0
2019,1.00,0
2020,1.00,0
2021,0.00,0
2022,0.00,0
2023,0.00,0
2024,0.00,0
2025,0.00,0
2026,0.00,0
2027,0.00,0
2028,0.00,0
2029,0.00,0
2030,0.00,0
2031,0.00,0
2032,0.00,0
2033,0.00,0
2034,0.00,0
2035,0.00,0
2036,0.00,0
2037,0.00,0
2038,0.00,0
2039,0.00,0
2040,0.00,0
2041,0.00,0
2042,0.00,0
2043,0.00,0
2044,0.00,0
2045,0.00,0
2046,0.00,0
2047,0.00,0
2048,0.00,0
2049,0.00,0
2050,0.00,0
2021,0.10,0
2022,0.10,0
2023,0.10,0
2024,0.10,0.02946202
2025,0.10,0.05892404
2026,0.10,0.08838606
2027,0.10,0.11784808
2028,0.10,0.147310099
2029,0.10,0.176772119
2030,0.10,0.206234139
2031,0.10,0.211144476
2032,0.10,0.216054813
2033,0.10,0.220965149
2034,0.10,0.225875486
2035,0.10,0.230785822
2036,0.10,0.235696159
2037,0.10,0.240606496
2038,0.10,0.245516832
2039,0.10,0.250427169
2040,0.10,0.255337506
2041,0.10,0.260247842
2042,0.10,0.265158179
2043,0.10,0.270068516
2044,0.10,0.274978852
2045,0.10,0.279889189
2046,0.10,0.284799526
2047,0.10,0.289709862
2048,0.10,0.294620199
2049,0.10,0.299530536
2050,0.10,0.304440872
2021,0.50,0
2022,0.50,0
2023,0.50,0
2024,0.50,0.147310099
2025,0.50,0.294620199
2026,0.50,0.441930298
2027,0.50,0.589240398
2028,0.50,0.736550497
2029,0.50,0.883860597
2030,0.50,1.031170696
2031,0.50,1.055722379
2032,0.50,1.080274063
2033,0.50,1.104825746
2034,0.50,1.129377429
2035,0.50,1.153929112
2036,0.50,1.178480796
2037,0.50,1.203032479
2038,0.50,1.227584162
2039,0.50,1.252135845
2040,0.50,1.276687529
2041,0.50,1.301239212
2042,0.50,1.325790895
2043,0.50,1.350342578
2044,0.50,1.374894262
2045,0.50,1.399445945
2046,0.50,1.423997628
2047,0.50,1.448549311
2048,0.50,1.473100995
2049,0.50,1.497652678
2050,0.50,1.522204361
2021,1.00,0
2022,1.00,0
2023,1.00,0
2024,1.00,0.294620199
2025,1.00,0.589240398
2026,1.00,0.883860597
2027,1.00,1.178480796
2028,1.00,1.473100995
2029,1.00,1.767721193
2030,1.00,2.062341392
2031,1.00,2.111444759
2032,1.00,2.160548125
2033,1.00,2.209651492
2034,1.00,2.258754858
2035,1.00,2.307858225
2036,1.00,2.356961591
2037,1.00,2.406064958
2038,1.00,2.455168324
2039,1.00,2.504271691
2040,1.00,2.553375057
2041,1.00,2.602478424
2042,1.00,2.65158179
2043,1.00,2.700685157
2044,1.00,2.749788523
2045,1.00,2.79889189
2046,1.00,2.847995256
2047,1.00,2.897098623
2048,1.00,2.946201989
2049,1.00,2.995305356
2050,1.00,3.044408722
